,state_fips_code,county_fips_code,5_digit_fips_code,state_abbreviation,name,premature_death,premature_death_black,premature_death_hispanic,premature_death_white,poor_or_fair_health,poor_physical_health_days,poor_mental_health_days,low_birthweight,low_birthweight_black,low_birthweight_hispanic,low_birthweight_white,adult_smoking,adult_obesity,food_environment_index,physical_inactivity,access_to_exercise_opportunities,excessive_drinking,alcohol_impaired_driving_deaths,sexually_transmitted_infections,teen_births,teen_births_black,teen_births_hispanic,teen_births_white,uninsured,primary_care_physicians,ratio_of_population_to_primary_care_physicians,dentists,ratio_of_population_to_dentists,mental_health_providers,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,preventable_hospital_stays_black,preventable_hospital_stays_hispanic,preventable_hospital_stays_white,mammography_screening,mammography_screening_black,mammography_screening_hispanic,mammography_screening_white,flu_vaccinations,flu_vaccinations_black,flu_vaccinations_hispanic,flu_vaccinations_white,high_school_graduation,some_college,unemployment,children_in_poverty,children_in_poverty_black,children_in_poverty_hispanic,children_in_poverty_white,income_inequality,children_in_single_parent_households,social_associations,violent_crime,injury_deaths,air_pollution__particulate_matter,drinking_water_violations,severe_housing_problems,percentage_of_households_with_high_housing_costs,percentage_of_households_with_overcrowding,percentage_of_households_with_lack_of_kitchen_or_plumbing_facilities,driving_alone_to_work,driving_alone_to_work_black,driving_alone_to_work_hispanic,driving_alone_to_work_white,long_commute__driving_alone,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,premature_age_adjusted_mortality,premature_age_adjusted_mortality_black,premature_age_adjusted_mortality_hispanic,premature_age_adjusted_mortality_white,child_mortality,child_mortality_black,child_mortality_hispanic,child_mortality_white,infant_mortality,infant_mortality_black,infant_mortality_hispanic,infant_mortality_white,frequent_physical_distress,frequent_mental_distress,diabetes_prevalence,hiv_prevalence,food_insecurity,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,insufficient_sleep,uninsured_adults,uninsured_children,other_primary_care_providers,ratio_of_population_to_primary_care_providers_other_than_physicians,disconnected_youth,median_household_income,median_household_income_black,median_household_income_hispanic,median_household_income_white,children_eligible_for_free_or_reduced_price_lunch,residential_segregation__black_white,residential_segregation__non_white_white,homicides,firearm_fatalities,homeownership,severe_housing_cost_burden,population,%_below_18_years_of_age,%_65_and_older,%_non_hispanic_african_american,%_american_indian_and_alaskan_native,%_asian,%_native_hawaiian_other_pacific_islander,%_hispanic,%_non_hispanic_white,%_not_proficient_in_english,%_females,%_rural,communicable_disease,self_inflicted_injury_hospitalizations,cancer_incidence,coronary_heart_disease_hospitalizations,cerebrovascular_disease_hospitalizations,smoking_during_pregnancy,drug_arrests,opioid_hospital_visits,alcohol_related_hospitalizations,motor_vehicle_crash_occupancy_rate,on_road_motor_vehicle_crash_related_er_visits,off_road_motor_vehicle_crash_related_er_visits,childhood_immunizations,reading_proficiency,w_2_enrollment,poverty,older_adults_living_alone,hate_crimes,child_abuse,injury_hospitalizations,fall_fatalities_65,year_structure_built,male_population_0_17,male_population_18_44,male_population_45_64,male_population_65,total_male_population,female_population_0_17,female_population_18_44,female_population_45_64,female_population_65,total_female_population,population_growth
907,20,3,20003,KS,Anderson County,8362.5978825,,,,0.1515822424,3.3043712345,3.407224502,0.0536231884,,,,0.1647922471,0.353,7.4,0.302,0.5454208837,0.1513210234,0.0666666667,230.5,29.126213592,,,,0.1066206669999999,0.0003832886,2609.0,0.000382995,2611.0,0.000382995,2611.0,3745.0,,,,0.52,,,,0.25,,,,0.936,0.6417647059,0.0395752896,0.179,0.5,,0.2318681319,3.9881981469,0.1655457838,14.053915932,237.48268355,86.628618019,9.2,0.0,0.1234756098,0.0960942343,0.0134146341,0.0149390243999999,0.7764808871,,,,0.317,76.762672094,,,,400.8,,,,,,,,,,,,0.1025004358,0.1099742501,0.123,77.6,0.147,0.0771909908,,25.34624785,0.2890120226,0.1310147689,0.0541624875,0.000638325,1566.6,,46595.0,,30156.0,40901.0,0.4950819672,,,,,0.7124142232999999,0.1187002653,7833,0.2480531086,0.2160091919,0.0057449253,0.0063832504,0.0062555853,0.000127665,0.0194050811,0.9491893272,0.0012224939,0.5014681476,0.5882498149000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,5,129,5129,AR,Searcy County,10636.495489,,,,0.2067179384,4.7769707635000005,5.0323989305,0.0623885918,,,,0.2003893426,0.352,6.4,0.347,0.2333129957,0.1327008727,0.1764705882,241.5,38.53820598,,,,0.0996447301999999,0.0002510355,3983.5,0.0003779289,2646.0,0.0021415974,466.94117647,3850.0,,,,0.37,,,,0.19,,,,0.972972973,0.4348348347999999,0.0454854039,0.352,,,,4.8541681079000005,0.1636133923,6.275888038200001,126.76681245,133.41388511,9.3,1.0,0.119873817,0.0808306709,0.0214511041,0.0138801262,0.7269715043000001,,,,0.3279999999999999,75.16424198600001,,,,457.6,,,,155.08684864,,,,,,,,0.1435780569,0.1485233767,0.142,74.0,0.158,0.1652957771,,30.482884757,0.3159512502,0.1185661765,0.0484261500999999,0.0010078105,992.25,,30640.0,,43387.0,37299.0,0.4581373471,,21.179873765,,35.2,0.7940647482,0.0854591837,7938,0.2026958932,0.2477954145,0.0034013604999999,0.0156210632,0.0040312421,0.0002519526,0.0249433107,0.930335097,0.0025122306,0.4964726631,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,48,211,48211,TX,Hemphill County,7651.480058300001,,,,0.164821524,3.5041795291000004,3.4999469802,0.0580357143,,,,0.1472002187,0.284,8.4,0.236,0.8182295770999999,0.1944578868,0.0,117.3,52.845528455,,67.961165049,43.636363636000006,0.2026032823999999,0.0009687576,1032.25,,,0.0002485088999999,4024.0,3104.0,,,,0.38,,,,0.37,,0.25,0.38,0.836,0.5191919192,0.0248394004,0.155,,,,3.5638694712,0.2649056603999999,21.797045289,324.22417786,86.72609009899999,6.9,0.0,0.0887372014,0.0716723549,0.0470989761,0.0,0.7624602333,,0.5867014342,0.8924605494,0.141,76.940261194,,,,406.9,,,,,,,,,,,,0.1072284751999999,0.1083802171,0.095,,0.119,0.0197940994,,48.602673147,0.3061205846,0.2340425532,0.1531791908,0.0004970179,2012.0,,64338.0,,34375.0,85469.0,0.4132397192,,,,,0.6840942563,0.0706910246,4024,0.3158548707999999,0.1428926441,0.0032306163,0.0161530815,0.0114314114999999,0.0012425447,0.3315109344,0.6381709742,0.0770822556,0.5037276342,0.2695035461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,22,89,22089,LA,St. Charles Parish,7306.6711574,10013.797075,,6246.5503846,0.1715392017999999,3.8571293616,4.0308639003,0.0975177305,0.1368421053,0.0575079872,0.0806511284,0.1773600096,0.3379999999999999,7.0,0.251,0.8069533914,0.1999258907999999,0.4047619047999999,515.0,23.757079924,31.802120141,28.835063437,20.025188917,0.0847036581,0.0003212214,3113.1176471,0.0004170694999999,2397.6818182,0.0013270394,753.55714286,4494.0,6860.0,,3691.0,0.41,0.45,0.44,0.4,0.38,0.3,0.33,0.41,0.816,0.6196777055,0.044966097,0.1669999999999999,0.2975560594999999,0.2536687630999999,0.0662464626,4.8490040611000005,0.3900563422999999,9.2587343877,332.6332196,75.422784503,9.0,0.0,0.1253739462,0.1049586776999999,0.0174054936,0.0065270601,0.8782038054000001,0.9124438743,0.7063655031,0.8733693736,0.447,77.998509946,76.234156655,81.579457661,78.69118623600001,353.1,455.81382586,,323.65664691,47.33951903,,,,6.1135371179,,,,0.110862708,0.1166610236,0.113,250.7,0.113,0.1825906612999999,21.453269731,11.380756766,0.3455531613,0.1078344125,0.0282340862,0.0003601964,2776.2631579,0.0994111534,65335.0,34503.0,67361.0,77067.0,0.5371821011,51.300241912,47.058632723,7.0,16.7,0.8034874504999999,0.11133548,52749,0.2461468464,0.1295948738,0.2594361978,0.0043792299,0.0117916927,0.0004929003,0.0615556693,0.6503061669,0.0068786922,0.510038105,0.1148920044999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,19,11,19011,IA,Benton County,6862.759219699999,,,,0.1156027835,2.823538007,3.1318616872,0.0636722606,,,,0.1503543252,0.331,8.7,0.242,0.5039883418,0.2082919932,0.2972972973,210.5,14.4,,,,0.0404925408,0.0001945601,5139.8,0.0002339911,4273.6666667,0.0001169955999999,8547.333333300001,3246.0,,,,0.51,,,,0.28,,,,0.8832684825,0.6965911119,0.0326821659,0.09,,0.6413793103000001,0.0964612897,4.0951872838,0.2125102881,16.343048367999998,,91.916060384,9.9,0.0,0.0866568193,0.0721343874,0.0102412605,0.0097488922,0.8242484816,,,,0.381,79.94173480100001,,,,330.6,,,,65.789473684,,,,,,,,0.0852759741,0.0971520623,0.106,74.8,0.1,0.0295500155,,25.513458349,0.2844240802,0.0477671188,0.0232080834,0.0007799704,1282.1,,67946.0,111250.0,61716.0,64312.0,0.2852130326,,30.16032743,,8.6,0.81692353,0.0691855754,25642,0.2341081039,0.1810701193,0.0054987909999999,0.0026518991999999,0.0038218548,0.0003899852,0.0150144294999999,0.9639263708,0.0033968517,0.5014039467,0.8065654241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,21,229,21229,KY,Washington County,9641.6891675,,,,0.2051161541,4.6648065717,4.3140762516,0.084178499,,,,0.2021487146999999,0.335,7.6,0.301,0.0260305539,0.145106278,0.375,215.5,27.017783858,,,,0.0734886585,0.0003281647,3047.25,0.0004123371,2425.2,0.0010720764999999,932.76923077,4454.0,1016.0,,4593.0,0.45,0.39,,0.45,0.42,0.4,,0.43,0.9745762712,0.4901812689,0.0408483896,0.204,0.5042735043,0.5974576271,0.1382042254,4.5231927711,0.275,14.767413241,54.094540613,86.36152262,10.8,0.0,0.1101223582,0.0873015873,0.0255839822,0.0100111235,0.8163414189,,,,0.37,75.625082442,,,,445.3,,,,,,,,,,,,0.1400230402,0.1304296958,0.141,58.9,0.131,0.0802515978,,35.760689466,0.3767594736,0.0825124911,0.0518134715,0.0004948046,2021.0,,49750.0,35938.0,18750.0,48800.0,0.5772833724,45.64160224,34.760287209,,,0.7656978034,0.0713150125,12126,0.2332178789,0.1758205509,0.0566551212,0.0023090879,0.0075045356999999,0.0004948046,0.0461817582,0.8742371763,0.0068256359999999,0.5064324592,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,13,227,13227,GA,Pickens County,8332.5316209,,,,0.1261538801999999,3.4402904869,3.598706968,0.0788954635,,,,0.1564984164,0.306,9.0,0.287,0.6904284598,0.1675422304,0.1481481481,194.7,36.123951378,,63.38028169,35.747533048,0.1490788657,0.0003567722,2802.9090909,0.0002849183,3509.7777778000004,0.000696467,1435.8181818,4092.0,,,,0.4,,,,0.48,0.46,,0.48,0.9189189189,0.5341463415,0.0428754123,0.191,,,,4.0997159193,0.2393495935,9.730150493,226.126595,76.817017924,10.2,0.0,0.1400088613,0.1239411501999999,0.0124058485,0.0053167922,0.7845985629000001,,,,0.455,77.210143523,,,,399.2,,,,55.344718533000005,,,,,,,,0.1020308769,0.1107564307,0.156,131.1,0.09,0.0168609168,18.332991836,14.692430555,0.2957886518,0.176680813,0.072600243,0.0007597822,1316.1666667000002,,61145.0,19844.0,,61642.0,0.5248694072,,14.946091497,,14.4,0.7755514544,0.1040129566,31588,0.2062492085999999,0.2128973028,0.0103520324,0.0047169811,0.0089274408,0.0003482335,0.0316259339,0.9331075092,0.0043225673,0.5081676586,0.7310319051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,28,53,28053,MS,Humphreys County,10785.532527,12480.224719,,6183.632379600001,0.3601084672,5.4164680056,4.889219652,0.140776699,,,,0.2616781582,0.4579999999999999,3.5,0.34,0.3588266667,0.0940767324,0.1818181818,1153.5,59.05707196,66.257668712,,34.482758621,0.1490089833,0.0004698695999999,2128.25,0.0002397507,4171.0,,,5924.0,5298.0,,7413.0,0.26,0.25,,0.3,0.15,0.13,,0.19,0.825,0.4159793814,0.0909878683,0.562,0.6271951831,0.32,0.1371841155,5.3547694605,0.6823027719,12.921414308,,78.72739481800001,9.9,0.0,0.2274959083,0.1725888325,0.0536824876999999,0.0045826514,0.7742782152,0.7159887798000001,,0.8256880734,0.3279999999999999,74.120591088,72.33637219100001,,78.466307398,538.7,621.19590023,,372.9934864,,,,,,,,,0.1848685856,0.1724345914,0.181,420.2,0.337,0.1263255389,,30.800155622,0.4167102667,0.2025898079,0.0358821017,0.000359626,2780.6666667,,26489.0,21355.0,,47500.0,0.9982435597,24.537876898,24.252975378,,,0.5819172812,0.1784766957,8342,0.2637257252,0.1679453367999999,0.7477823064,0.0021577559,0.0032366339,0.0005993766,0.0322464637,0.207624071,0.0021018792999999,0.5268520738,0.4984533332999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,30,31,30031,MT,Gallatin County,4341.5651812,,,,0.1187418534,2.9957931086,3.1294433904,0.0747834574,0.2173913043,0.1002570694,0.0710375217,0.1458108477,0.161,8.2,0.1159999999999999,0.8120384748999999,0.2418499532,0.5531914894,518.2,9.3715071791,,23.724792408000003,8.5735820614,0.0762369291,0.000736828,1357.1688312,0.0006771172,1476.8493150999998,0.0029032557,344.44089457,2112.0,,,,0.42,,0.41,0.42,0.45,,0.28,0.45,0.865,0.8158975762999999,0.0275985383999999,0.08,0.6190476189999999,0.1377358491,0.0780795609999999,4.4465116279000005,0.1878485471,12.535645250999998,225.79534639,54.446928104,7.1,0.0,0.155393053,0.1361640593999999,0.0158004701,0.0073126143,0.7362700641,,0.6681922197,0.7402605022,0.129,82.28561847,,87.498399257,82.238629592,201.0,,,,42.017815554,,,,3.4183860335,,,,0.0921710146,0.1002212502,0.047,53.8,0.12,0.034670171,5.4304250745,11.609850959,0.2377320526,0.0864862498,0.0468440036,0.0009924868,1007.5700935,0.0162790698,61446.0,,44563.0,59967.0,0.2027934666,83.248091658,25.948510555,1.5,13.9,0.6160891879,0.1458464166,107810,0.2015861237,0.1212781746,0.0040905296,0.0098413876,0.0142472869,0.0009090066,0.0364066413,0.9188294221,0.0027658137,0.4814859475,0.3354261392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,22,67,22067,LA,Morehouse Parish,14356.464424000002,17584.40506,,11412.857946,0.2628092552,4.9372909898,4.8133511893000005,0.1395988989,0.177498253,,0.0878003697,0.2319632189,0.41,5.2,0.3279999999999999,0.7390900318000001,0.1484919435999999,0.4642857143,928.2,58.583348127,66.586321181,,48.74715262,0.1151196956,0.0003452112,2896.7777778,0.0003900004,2564.1,0.0039390039,253.87128713,7397.0,7405.0,,7713.0,0.32,0.34,,0.32,0.35,0.26,,0.39,0.6920000000000001,0.3908816628,0.0799424183999999,0.4029999999999999,0.6010172364999999,0.4415584415999999,0.1224409449,5.3955788249,0.4924064506,17.644125657,571.00720377,95.509535793,9.8,1.0,0.1460028722,0.1328320802,0.0205840115,0.0071804691,0.8969906159000001,0.9017735334,,0.931880109,0.4029999999999999,71.648244394,68.532333023,,74.120344758,642.6,796.06927703,,534.64421564,118.02659533,,,,10.097087379,,,,0.1549153768999999,0.1492753668,0.146,280.6,0.231,0.1512535324,21.765014659,28.862959736,0.3971318615999999,0.1511493076999999,0.0298553879999999,0.0005850006,1709.4,0.3175528041,32988.0,21377.0,12963.0,42992.0,1.0,56.453503385,55.394793858,14.4,18.2,0.6603155701,0.1426692965,25641,0.2421902422,0.1814281814,0.4736554737,0.0022230022,0.005031005,0.0006630007,0.0134550135,0.4946764946999999,0.0020081967,0.5177645178,0.5003752815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
